    0.940391063690185547E+01    0.767224669456481934E+01   -0.381012934306172824E+02
    0.217370205401739014E+01    0.289619081823763835E+00   -0.375773290822793200E+02
    0.870730988007879958E+01    0.761686625368308867E+01   -0.374408098105162424E+02
    0.299776110993365563E+01    0.133023519685957048E+01   -0.372033648227623530E+02
   -0.104041522625520244E+01   -0.189208708782594925E+01   -0.370576712596672380E+02
   -0.245529651641845703E+01    0.424822330474853516E+01   -0.368080202384134196E+02
   -0.214120984077453613E+01    0.743436336517333984E+01   -0.367372152533707350E+02
    0.813499693876496366E+01    0.799301793312201170E+01   -0.367068460545795148E+02
   -0.187060594558715820E+01   -0.638260841369628906E+00   -0.366820781990739277E+02
   -0.221293004418979322E+01    0.528296898241471524E-01   -0.366612218887431069E+02
    0.866635058318036045E+01    0.936201283998307687E+01   -0.365901995124305728E+02
    0.175927400588989258E+01    0.402654409408569336E+00   -0.365426450424665319E+02
   -0.202064275741577148E+01    0.848292827606201172E+01   -0.365004740283518885E+02
   -0.265516281127929688E+01    0.160638809204101562E+01   -0.362918911502245010E+02
   -0.257819414138793945E+01    0.121083498001098633E+01   -0.362232069265481869E+02
   -0.203293681144714355E+01    0.562291622161865234E+01   -0.361399928007017905E+02
    0.667255851120635768E+01    0.617130641585457340E+01   -0.361203960452896524E+02
    0.494172275175594677E+01    0.375362118141203993E+01   -0.361160936479780830E+02
    0.182457327842712402E+01    0.773181915283203125E+00   -0.360361643650225147E+02
    0.744484172900513030E+01    0.804362967557452890E+01   -0.360188986934159914E+02
    0.696584701538085938E+01    0.710847377777099609E+01   -0.359788208281620570E+02
   -0.829117298126220703E+00   -0.151533722877502441E+01   -0.359691721656845829E+02
    0.311299800872802734E+01    0.205614209175109863E+01   -0.359354216664605275E+02
    0.582621109799985959E+01    0.501743252849963639E+01   -0.359280427598378225E+02
   -0.259252190589904785E+01    0.166168332099914551E+01   -0.359163399852919696E+02
    0.806151866912841797E+01    0.983950138092041016E+01   -0.358430491237850930E+02
    0.588155627250671387E+01    0.527084827423095703E+01   -0.358064618706912796E+02
    0.561896794286468548E+01    0.494686624766830363E+01   -0.357449507567101321E+02
    0.555531382560729980E+01    0.488003492355346680E+01   -0.357239567038123198E+02
    0.500346302986145020E+01    0.420153498649597168E+01   -0.356737445644488034E+02
    0.720485329627990723E+01    0.832776665687561035E+01   -0.356703689096422494E+02
